CSLB #,Company List
1065825,TRUE GREEN ELECTRIC INC
1045220,SAFE HAVEN SOLAR
1030114,SUPERIOR SOLAR INC
1077074,KUUBIX GLOBAL LLC
1045520,LYDEN CONSTRUCTION
1031864,COBEX CONSTRUCTION GROUP
1069269,GSP ELECTRIC LLC
1074810,QUANTUM SHIFT TECHNOLOGIES LLC
1405220,License does not exist
848857,GREENHOUSE BUILDERS GROUP LLC
1075385,PRIME HOME SOLUTIONS
1033658,PENGUIN HOME SOLUTIONS
1080746,NORTH VALLEY LLC
631964,FISHER ELECTRIC INC
980759,ENERGY SYSTEMS DEVELOPMENT CONSTRUCTION INC
1064526,PREMIER SOLAR ENERGY INC
1070687,TITAN ENERGY LLC
463720,FUTURE ENERGY CORPORATION
892475,SPECTRUM ENERGY DEVELOPMENT INC
714616,A P H CONSTRUCTION
1073764,SIGORA SOLAR CALIFORNIA LLC
1042451,SOLARLINK ENERGY CONSTRUCTION INC
1061586,SUSTAINABLE ENERGY SOLUTIONS INC
1082343,JP SOLAR SERVICE
976336,SOLCIUS LLC
1001143,SILVERLINE HOME REMODELING INC
1062345,G A F ENERGY LLC
1008525,DEL SOL NRG INC
585741,SOLAR QUEST
970558,AES MECHANICAL SERVICES GROUP INC
893826,URBAN DESIGN RENOVATION & CONSTRUCTION
955219,B J K CONSTRUCTION
1069206,CAPTIVE SOLAR ENERGY INC
880150,SUN SOLAR ELECTRIC INC
1093996,ARVO SOLAR
1054222,GREEN HOME SYSTEMS INC
916654,AIR HEAT SOLAR
1081160,T-REX SOLAR INC
993467,AMERICAN ARRAY SOLAR INC
1074053,STANDARD ECO LLC
1085206,ZENERNET INSTALLATION COMPANY LLC
1013576,SOLECTRIC
1076974,TITANIUM SOLAR LLC
74452,
1030273,LIFT ENERGY CONSTRUCTION INC
1060203,SOL NOVA ELECTRIC LLC
1024460,BETTER EARTH ELECTRIC INC
1060243,POWUR PBC WHICH WILL DO BUSINESS IN CALIFORNIA AS POWUR HOME CONSTRUCTION
1081055,BROWER MECHANICAL CA LLC
1094790,ORIGIN SOLAR USA INC
1010469,SUN UP ELECTRIC INC
1093477,DEVINE SOLAR SOLUTIONS LLC
959532,GRC DESIGN AND BUILD
742317,ENERGY SAVINGS CALIFORNIA
1068160,REVAMP SOLAR ENERGY LLC
1078291,ORION SOLAR AND ELECTRIC
1057991,INTENSITY ELECTRICAL SERVICE
1077450,SINGH'S SOLAR
